,index,count,timeStamp,activity,time,perc
328,4,20.0,55,Child Care,1970-01-01 01:55:00,0.3
329,5,5.0,55,Adult Care,1970-01-01 01:55:00,0.07
330,10,6312.0,56,Leisure,1970-01-01 01:56:00,93.4
331,6,221.0,56,Work and Education,1970-01-01 01:56:00,3.27
332,11,121.0,56,Travel and Other,1970-01-01 01:56:00,1.79
333,3,81.0,56,Housework,1970-01-01 01:56:00,1.2
334,4,19.0,56,Child Care,1970-01-01 01:56:00,0.28
335,5,4.0,56,Adult Care,1970-01-01 01:56:00,0.06
336,10,6311.0,57,Leisure,1970-01-01 01:57:00,93.39
337,6,222.0,57,Work and Education,1970-01-01 01:57:00,3.28
338,11,121.0,57,Travel and Other,1970-01-01 01:57:00,1.79
339,3,81.0,57,Housework,1970-01-01 01:57:00,1.2
340,4,19.0,57,Child Care,1970-01-01 01:57:00,0.28
341,5,4.0,57,Adult Care,1970-01-01 01:57:00,0.06
342,10,6310.0,58,Leisure,1970-01-01 01:58:00,93.37
343,6,224.0,58,Work and Education,1970-01-01 01:58:00,3.31
344,11,121.0,58,Travel and Other,1970-01-01 01:58:00,1.79
345,3,80.0,58,Housework,1970-01-01 01:58:00,1.18
346,4,19.0,58,Child Care,1970-01-01 01:58:00,0.28
347,5,4.0,58,Adult Care,1970-01-01 01:58:00,0.06
348,10,6309.0,59,Leisure,1970-01-01 01:59:00,93.36
349,6,225.0,59,Work and Education,1970-01-01 01:59:00,3.33
350,11,120.0,59,Travel and Other,1970-01-01 01:59:00,1.78
351,3,79.0,59,Housework,1970-01-01 01:59:00,1.17
352,4,21.0,59,Child Care,1970-01-01 01:59:00,0.31
353,5,4.0,59,Adult Care,1970-01-01 01:59:00,0.06
354,10,6309.0,60,Leisure,1970-01-01 02:00:00,93.36
355,6,225.0,60,Work and Education,1970-01-01 02:00:00,3.33
356,11,120.0,60,Travel and Other,1970-01-01 02:00:00,1.78
357,3,79.0,60,Housework,1970-01-01 02:00:00,1.17
358,4,21.0,60,Child Care,1970-01-01 02:00:00,0.31
359,5,4.0,60,Adult Care,1970-01-01 02:00:00,0.06
360,10,6126.0,61,Leisure,1970-01-01 02:01:00,90.65
361,6,247.0,61,Work and Education,1970-01-01 02:01:00,3.65
362,11,181.0,61,Travel and Other,1970-01-01 02:01:00,2.68
363,3,162.0,61,Housework,1970-01-01 02:01:00,2.4
364,4,37.0,61,Child Care,1970-01-01 02:01:00,0.55
365,5,5.0,61,Adult Care,1970-01-01 02:01:00,0.07
366,10,6121.0,62,Leisure,1970-01-01 02:02:00,90.57
367,6,250.0,62,Work and Education,1970-01-01 02:02:00,3.7
368,11,184.0,62,Travel and Other,1970-01-01 02:02:00,2.72
