,index,count,timeStamp,activity,time,perc
301,6,2514.0,51,Work and Education,1970-01-01 01:51:00,3.41
302,11,1251.0,51,Travel and Other,1970-01-01 01:51:00,1.7
303,3,636.0,51,Housework,1970-01-01 01:51:00,0.86
304,4,300.0,51,Child Care,1970-01-01 01:51:00,0.41
305,5,52.0,51,Adult Care,1970-01-01 01:51:00,0.07
306,10,69001.0,52,Leisure,1970-01-01 01:52:00,93.55
307,6,2517.0,52,Work and Education,1970-01-01 01:52:00,3.41
308,11,1251.0,52,Travel and Other,1970-01-01 01:52:00,1.7
309,3,637.0,52,Housework,1970-01-01 01:52:00,0.86
310,4,301.0,52,Child Care,1970-01-01 01:52:00,0.41
311,5,51.0,52,Adult Care,1970-01-01 01:52:00,0.07
312,10,69003.0,53,Leisure,1970-01-01 01:53:00,93.55
313,6,2533.0,53,Work and Education,1970-01-01 01:53:00,3.43
314,11,1241.0,53,Travel and Other,1970-01-01 01:53:00,1.68
315,3,632.0,53,Housework,1970-01-01 01:53:00,0.86
316,4,299.0,53,Child Care,1970-01-01 01:53:00,0.41
317,5,50.0,53,Adult Care,1970-01-01 01:53:00,0.07
318,10,69000.0,54,Leisure,1970-01-01 01:54:00,93.55
319,6,2539.0,54,Work and Education,1970-01-01 01:54:00,3.44
320,11,1239.0,54,Travel and Other,1970-01-01 01:54:00,1.68
321,3,632.0,54,Housework,1970-01-01 01:54:00,0.86
322,4,298.0,54,Child Care,1970-01-01 01:54:00,0.4
323,5,50.0,54,Adult Care,1970-01-01 01:54:00,0.07
324,10,68999.0,55,Leisure,1970-01-01 01:55:00,93.55
325,6,2541.0,55,Work and Education,1970-01-01 01:55:00,3.45
326,11,1237.0,55,Travel and Other,1970-01-01 01:55:00,1.68
327,3,632.0,55,Housework,1970-01-01 01:55:00,0.86
328,4,299.0,55,Child Care,1970-01-01 01:55:00,0.41
329,5,50.0,55,Adult Care,1970-01-01 01:55:00,0.07
330,10,68971.0,56,Leisure,1970-01-01 01:56:00,93.51
331,6,2627.0,56,Work and Education,1970-01-01 01:56:00,3.56
332,11,1196.0,56,Travel and Other,1970-01-01 01:56:00,1.62
333,3,615.0,56,Housework,1970-01-01 01:56:00,0.83
334,4,302.0,56,Child Care,1970-01-01 01:56:00,0.41
335,5,47.0,56,Adult Care,1970-01-01 01:56:00,0.06
336,10,68964.0,57,Leisure,1970-01-01 01:57:00,93.5
